timestamp,open,high,low,close,volume
2024-01-01 00:00:00,42183.34,42474.68,41984.56,42179.56,1146.94
2024-01-01 01:00:00,42187.18,42277.69,42047.72,42130.61,1135.17
2024-01-01 02:00:00,42449.08,42587.69,42251.99,42365.37,697.6
2024-01-01 03:00:00,43033.13,43366.73,42773.46,42921.37,697.91
2024-01-01 04:00:00,42815.85,42975.95,42732.79,42836.43,924.17
2024-01-01 05:00:00,42750.11,42863.43,42629.03,42751.67,2642.27
2024-01-01 06:00:00,43336.02,43707.85,43239.01,43333.54,620.03
2024-01-01 07:00:00,43602.79,43753.43,43396.56,43619.63,2168.58
2024-01-01 08:00:00,43414.34,43532.56,43305.24,43445.83,2073.99
2024-01-01 09:00:00,43663.37,43916.19,43329.09,43648.68,1547.1
2024-01-01 10:00:00,43547.37,43843.08,43377.27,43477.02,538.51
2024-01-01 11:00:00,43347.55,43347.55,43113.84,43305.18,2076.39
2024-01-01 12:00:00,43355.01,43716.1,43096.28,43395.73,895.8
2024-01-01 13:00:00,42657.45,42798.15,42637.05,42692.69,1171.62
2024-01-01 14:00:00,42103.03,42103.03,41822.05,42068.73,870.61
2024-01-01 15:00:00,41940.03,42029.43,41271.57,41867.88,2239.71
2024-01-01 16:00:00,41427.24,41583.07,41275.47,41507.85,1660.83
2024-01-01 17:00:00,41617.41,41717.67,41548.23,41620.34,977.04
2024-01-01 18:00:00,41361.13,41361.13,41034.48,41299.41,993.76
2024-01-01 19:00:00,40896.55,41122.28,40717.35,40804.7,1350.22
2024-01-01 20:00:00,41300.01,41391.98,41247.79,41319.95,2576.75
2024-01-01 21:00:00,41304.86,41319.89,41152.45,41241.13,738.79
2024-01-01 22:00:00,41261.36,41319.24,41225.28,41265.79,537.22
2024-01-01 23:00:00,40811.94,40915.46,40756.55,40767.14,580.72
2024-01-02 00:00:00,40634.49,40634.49,40173.3,40578.72,846.49
2024-01-02 01:00:00,40745.28,40820.73,40029.84,40618.05,639.59
2024-01-02 02:00:00,40258.2,40444.09,40012.1,40221.23,1553.42
2024-01-02 03:00:00,40339.88,40477.28,39965.26,40351.43,717.43
2024-01-02 04:00:00,40154.68,40320.27,40046.12,40145.62,864.96
2024-01-02 05:00:00,40058.55,40527.72,40034.94,40046.47,1550.65
2024-01-02 06:00:00,39880.03,40062.09,39605.39,39841.86,1643.0
2024-01-02 07:00:00,40496.87,40809.09,40246.49,40478.5,1254.28
2024-01-02 08:00:00,40494.17,40494.17,40408.13,40474.66,921.92
2024-01-02 09:00:00,40096.52,40434.85,40020.25,40111.21,1464.09
2024-01-02 10:00:00,40431.24,40635.29,40147.1,40395.05,1201.17
2024-01-02 11:00:00,39967.53,40036.01,39701.55,39976.53,625.58
2024-01-02 12:00:00,39982.93,40083.44,39982.93,40048.79,1940.05
2024-01-02 13:00:00,39325.79,39698.35,39217.57,39384.36,2653.39
2024-01-02 14:00:00,39036.48,39064.98,38682.96,38940.57,1509.82
2024-01-02 15:00:00,39064.39,39141.16,38567.65,39006.95,824.83
2024-01-02 16:00:00,39172.93,39745.31,38805.1,39254.75,2145.4
2024-01-02 17:00:00,39394.73,39514.1,38833.52,39313.1,1063.91
2024-01-02 18:00:00,39319.77,39391.86,39107.47,39275.06,781.19
2024-01-02 19:00:00,39130.61,39195.33,39130.61,39174.91,780.68
2024-01-02 20:00:00,38626.38,39011.2,38626.38,38683.75,1603.59
2024-01-02 21:00:00,38500.21,38500.21,38179.66,38447.25,2070.5
2024-01-02 22:00:00,38240.52,38486.46,38116.81,38296.96,724.63
2024-01-02 23:00:00,38651.47,38751.65,38458.25,38645.36,1834.03
2024-01-03 00:00:00,38667.21,38876.37,38667.21,38759.83,940.47
2024-01-03 01:00:00,38193.72,38193.72,38075.43,38180.9,1864.14
2024-01-03 02:00:00,38294.62,38311.57,38205.39,38287.6,1043.3
2024-01-03 03:00:00,38122.38,38171.89,38122.38,38162.57,1162.9
2024-01-03 04:00:00,37872.38,38209.27,37611.25,37943.18,1192.91
2024-01-03 05:00:00,38125.98,38279.87,37972.18,38142.86,1747.74
2024-01-03 06:00:00,38433.05,38610.85,38427.58,38481.26,2645.15
2024-01-03 07:00:00,38826.47,39019.93,38729.51,38789.6,913.8
2024-01-03 08:00:00,38515.67,38548.82,38488.14,38513.14,647.0
2024-01-03 09:00:00,38380.15,38597.4,37987.72,38412.27,1869.8
2024-01-03 10:00:00,38475.54,38538.99,38025.11,38521.98,2139.12
2024-01-03 11:00:00,38878.49,39171.19,38737.82,38845.34,2128.4
2024-01-03 12:00:00,38653.6,38760.69,38647.98,38687.36,1514.76
2024-01-03 13:00:00,38628.78,38752.2,38390.42,38626.81,1269.97
2024-01-03 14:00:00,38283.04,38308.77,37966.37,38264.04,1333.53
2024-01-03 15:00:00,37945.33,38253.15,37804.75,37875.58,1709.64
2024-01-03 16:00:00,38100.0,38459.29,38060.42,38140.33,555.77
2024-01-03 17:00:00,38617.02,38693.55,38571.17,38585.84,1420.67
2024-01-03 18:00:00,38556.45,38595.54,38290.3,38562.89,1403.91
2024-01-03 19:00:00,38959.56,39038.93,38655.49,38895.89,1109.14
2024-01-03 20:00:00,39088.1,39230.2,38955.38,39017.11,641.72
2024-01-03 21:00:00,38814.53,39253.34,38727.04,38803.35,809.12
2024-01-03 22:00:00,38965.54,38965.54,38894.52,38924.2,1456.7
2024-01-03 23:00:00,39331.47,39595.09,39177.58,39440.1,1007.99
2024-01-04 00:00:00,39451.81,39646.35,39004.4,39428.83,2993.0
2024-01-04 01:00:00,39965.41,39965.41,39792.97,39960.51,598.89
2024-01-04 02:00:00,39092.12,39256.02,39019.73,39076.45,821.7
2024-01-04 03:00:00,39342.42,39484.2,39157.55,39352.74,1255.75
2024-01-04 04:00:00,39384.51,39488.49,39205.92,39382.84,509.12
2024-01-04 05:00:00,39281.65,39496.41,39189.89,39283.13,1317.77
2024-01-04 06:00:00,39315.37,39588.04,39205.11,39314.76,1811.84
2024-01-04 07:00:00,38617.95,38859.14,38594.3,38653.29,686.97
2024-01-04 08:00:00,38577.49,38592.5,38479.39,38581.57,986.5
2024-01-04 09:00:00,38645.78,38712.79,38318.06,38700.31,644.09
2024-01-04 10:00:00,39283.08,39430.15,39075.53,39193.09,1718.76
2024-01-04 11:00:00,39029.36,39062.3,38729.81,39020.65,837.09
2024-01-04 12:00:00,38730.16,38871.58,38694.12,38752.73,670.42
2024-01-04 13:00:00,38612.96,38618.65,38587.09,38587.67,1690.65
2024-01-04 14:00:00,38742.59,39076.23,38602.83,38891.58,1434.32
2024-01-04 15:00:00,38933.37,39268.37,38933.37,39001.82,2301.98
2024-01-04 16:00:00,38792.84,38931.53,38679.04,38826.41,3091.04
2024-01-04 17:00:00,38911.41,39104.44,38911.41,38997.93,683.36
2024-01-04 18:00:00,39038.1,39038.1,38918.05,39031.1,1473.07
2024-01-04 19:00:00,39354.8,39591.87,39325.21,39356.41,1433.27
2024-01-04 20:00:00,39111.6,39208.46,38948.67,39121.75,2211.71
2024-01-04 21:00:00,39099.23,39280.75,38698.39,39013.14,709.32
2024-01-04 22:00:00,38848.08,39013.48,38681.23,38883.4,2326.01
2024-01-04 23:00:00,38525.08,38530.98,38307.13,38400.81,1105.71
2024-01-05 00:00:00,38574.1,38641.77,38441.31,38498.92,2061.51
